DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0643-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Keith,MEX,Mexico,Latin America and the Caribbean,Americas,"Puebla, Campeche, Quintana Roo, Yucatan, Veracruz, Chiapas, Oaxaca, Tabasco, Tamaulipas provinces",,,No,No,No,,150.0,Kph,,,,2000,9,29,2000,10,3,23.0,,30000.0,,30000.0,,,,,1000.0,1769.0,56.51429055927763,"[{""adm1_code"":2031,""adm1_name"":""Campeche""},{""adm1_code"":2032,""adm1_name"":""Chiapas""},{""adm1_code"":2047,""adm1_name"":""Oaxaca""},{""adm1_code"":2048,""adm1_name"":""Puebla""},{""adm1_code"":2050,""adm1_name"":""Quintana Roo""},{""adm1_code"":2054,""adm1_name"":""Tabasco""},{""adm1_code"":2055,""adm1_name"":""Tamaulipas""},{""adm1_code"":2057,""adm1_name"":""Veracruz""},{""adm1_code"":2058,""adm1_name"":""Yucatan""}]",2005-12-16,2023-09-25
2000-0652-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Leslie,USA,United States of America,Northern America,Americas,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",,,No,No,No,,,Kph,,,,2000,10,4,2000,10,4,2.0,,14418.0,3015.0,17433.0,,,,,219000.0,387513.0,56.51429055927763,"[{""adm2_code"":29003,""adm2_name"":""Broward""},{""adm2_code"":29008,""adm2_name"":""Collier""},{""adm2_code"":29040,""adm2_name"":""Miami-Dade""},{""adm2_code"":29041,""adm2_name"":""Monroe""}]",2003-07-01,2023-09-25
2001-0242-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Allison,USA,United States of America,Northern America,Americas,"Texas, Mississippi, Louisiana, Florida, Pennsylvania, South Carolina, North Carolina, Georgia, Pensylvania, New Jersey, Virginia, Iowa provinces",,Flood,No,No,Yes,,,Kph,,,,2001,6,5,2001,6,17,41.0,,102000.0,70000.0,172000.0,,,3500000.0,6022907.0,6000000.0,10324983.0,58.11147437438208,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2006-10-11,2023-09-25
2001-0488-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Dalila,MEX,Mexico,Latin America and the Caribbean,Americas,"Guerrero, Chiapas provinces",,,No,No,No,,,Kph,,,,2001,7,25,2001,7,25,,,100.0,,100.0,,,,,,,58.11147437438208,"[{""adm1_code"":2032,""adm1_name"":""Chiapas""},{""adm1_code"":2039,""adm1_name"":""Guerrero""}]",2003-07-01,2023-09-25
2001-0562-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Juliette,MEX,Mexico,Latin America and the Caribbean,Americas,Baja California Sur province,,,No,No,Yes,,120.0,Kph,,,,2001,9,24,2001,10,2,3.0,,3000.0,800.0,3800.0,,,150000.0,258125.0,400000.0,688332.0,58.11147437438208,"[{""adm1_code"":2030,""adm1_name"":""Baja California Sur""}]",2004-10-28,2023-09-25
2001-0570-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Iris,MEX,Mexico,Latin America and the Caribbean,Americas,Oaxaca province,,,No,No,No,,,Kph,,,,2001,10,4,2001,10,9,2.0,,,,,,,,,1000.0,1721.0,58.11147437438208,"[{""adm1_code"":2047,""adm1_name"":""Oaxaca""}]",2007-04-18,2023-09-25
2001-0572-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Lorena,MEX,Mexico,Latin America and the Caribbean,Americas,"Colima, Jalisco, Michoacan, Nayarit, Sinaloa provinces",,,No,No,No,,,Kph,,,,2001,10,3,2001,10,3,,,,,,,,,,,,58.11147437438208,"[{""adm1_code"":2035,""adm1_name"":""Colima""},{""adm1_code"":2041,""adm1_name"":""Jalisco""},{""adm1_code"":2043,""adm1_name"":""Michoacan""},{""adm1_code"":2045,""adm1_name"":""Nayarit""},{""adm1_code"":2052,""adm1_name"":""Sinaloa""}]",2003-07-01,2023-09-25
2001-0735-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Chantal,MEX,Mexico,Latin America and the Caribbean,Americas,Quintana Roo province,,,No,No,No,,100.0,Kph,,,,2001,8,21,2001,8,21,,,2500.0,,2500.0,,,,,,,58.11147437438208,"[{""adm1_code"":2050,""adm1_name"":""Quintana Roo""}]",2003-07-01,2023-09-25
2002-0609-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Isidore,MEX,Mexico,Latin America and the Caribbean,Americas,"Campeche, Quintana Roo, Yucatan provinces",,,Yes,No,No,,180.0,Kph,,,,2002,9,20,2002,9,20,13.0,30.0,500000.0,,500030.0,,,280000.0,474310.0,640000.0,1084137.0,59.03314407861422,"[{""adm1_code"":2031,""adm1_name"":""Campeche""},{""adm1_code"":2050,""adm1_name"":""Quintana Roo""},{""adm1_code"":2058,""adm1_name"":""Yucatan""}]",2005-12-16,2023-09-25
2002-0647-MEX,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Julio,MEX,Mexico,Latin America and the Caribbean,Americas,Acapulco De Juarez district (Guerrero province),,,No,No,No,,,Kph,,,,2002,9,25,2002,9,25,,,500.0,,500.0,,,,,,,59.03314407861422,"[{""adm2_code"":19922,""adm2_name"":""Acapulco De Juarez""}]",2003-07-01,2023-09-25
