Start Year,Start Month,Start Day,End Year,End Month,End Day,Location,Total Deaths,No. Affected,Total Affected,Insured Damage ('000 US$),Total Damage ('000 US$),Magnitude,Magnitude Scale
2001,9,24,2001,10,2,Baja California Sur province,3.0,3000.0,3800.0,150000.0,400000.0,120.0,Kph
2002,9,20,2002,9,20,"Campeche, Quintana Roo, Yucatan provinces",13.0,500000.0,500030.0,280000.0,640000.0,180.0,Kph
2002,9,26,2002,9,27,"Louisiane, Mississippi, Alabama, Tennessee provinces",1.0,13200.0,13200.0,200000.0,300000.0,105.0,Kph
2003,9,18,2003,9,22,"North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces",16.0,225000.0,225000.0,1685000.0,3370000.0,170.0,Kph
2004,8,13,2004,8,13,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces",10.0,30000.0,30000.0,7600000.0,16000000.0,230.0,Kph
2005,8,29,2005,9,19,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",1833.0,500000.0,500000.0,60000000.0,125000000.0,280.0,Kph
2005,9,23,2005,10,1,"Louisiana, Texas, Mississippi provinces",10.0,300000.0,300000.0,11300000.0,16000000.0,280.0,Kph
2005,10,24,2005,10,24,"Florida Keys, Naples areas (Collier district, Florida province)",4.0,30000.0,30000.0,10350000.0,14300000.0,165.0,Kph
2007,8,21,2007,8,24,"Yucatan, Quintana Roo, Campeche, Veracruz, Hidalgo, Puebla provinces",9.0,140000.0,140000.0,475000.0,600000.0,265.0,Kph
2008,9,12,2008,9,16,"Galveston, Brazoria, Harris, Chambers, Jefferson districts (Texas province), Louisiana, Tennessee, Arkansas, Ohio, Indiana, Illinois, Missouri, Kentucky, Pennsylvania, Michigan provinces",82.0,200000.0,200000.0,15000000.0,30000000.0,200.0,Kph
2010,9,15,2010,9,17,"Campeche, Veracruz, Tabasco, Puebla provinces",12.0,230000.0,230000.0,150000.0,3900000.0,195.0,Kph
2011,9,4,2011,9,9,"Louisiana, Mississippi, Alabama, Texas, New York, Pennsylvania, District of Columbia, Georgia, Maryland, Tennessee, Virginia provinces",15.0,600.0,600.0,560000.0,750000.0,75.0,Kph
2012,6,15,2012,6,15,"Puerto Escondido city (Dist. Pochutla district, Oaxaca province)",7.0,87000.0,87000.0,84000.0,555000.0,150.0,Kph
2014,9,10,2014,9,17,"Cabo San Lucas city (Los Cabos area, La Paz district, Baja California Sur province)",6.0,75000.0,75135.0,1200000.0,2500000.0,205.0,Kph
2015,10,22,2015,10,28,"Manzanillo district (Colima province), Coahuila, Nuevo leon, Tamaulipas provinces",14.0,15000.0,15000.0,343000.0,823000.0,270.0,Kph
2016,9,1,2016,9,6,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",3.0,13500.0,14070.0,270000.0,600000.0,85.0,Kph
2017,8,25,2017,8,29,"Eastern Texas (Rockport, Corpus Chrsti, Port Lavaca, Cypress area of Houston, Houston metro area, Beaumont, Port Arthur, Angelina, Aransas, Atascosa, Austin, Bastrop, Bee, Bexar, Brazoria, Brazos, Burleson, Caldwell, Calhoun, Cameron, Chambers, Colorado, Comal, DeWitt, Fayette, Fort Bend, Galveston, Goliad, Gonzales, Grimes, Guadalupe, Hardin, Harris, Jackson, Jasper, Jefferson, Jim Wells, Karnes, Kerr, Kleberg, Lavaca, Lee, Leon, Liberty, Live Oak, Madison, Matagorda, Montgomery, Newton, Nueces, Orange, Polk, Refugio, Sabine, San Jacinto, San Patricio, Trinity, Tyler, Victoria, Walker, Waller, Washington, Wharton, Willacy, Wilson, San Augustine), Southwestern Louisiana (Acadia, Forrest, Iberia, Lafayette, Vernon, Beauregard, Calcasieu, Cameron (Hackberry), Jefferson Davis, Vermillion, Allen, Natchitoches, Rapides, Sabine)",88.0,555000.0,582024.0,30000000.0,95000000.0,215.0,Kph
2018,10,10,2018,10,11,"Florida, Georgia, Alabama, North Carolina, Virginia, Maryland",49.0,5000.0,5000.0,10000000.0,16000000.0,250.0,Kph
2019,9,17,2019,9,21,Texas,5.0,1000.0,1000.0,1200000.0,3500000.0,65.0,Kph
2020,8,27,2020,8,28,"Louisiana, Texas, Arkansas, Mississippi",33.0,6500.0,6500.0,10000000.0,13000000.0,240.0,Kph
2021,8,28,2021,9,2,"Louisiana, New York, New Jersey, Maryland, Connecticut, Virginia, Pennsylvania, Delaware",96.0,14000.0,14000.0,36000000.0,65000000.0,240.0,Kph
2023,10,22,2023,10,25,Acapulco (central Guerrero State),104.0,988000.0,988000.0,4000000.0,12000000.0,270.0,Kph
